   t		   e1rho1	   e1rho2   	   e2rho1	   e2rho2	   e3rho1   	   e3rho2  	   e4rho1          e4rho2          e5rho1          e5rho2	   e6rho1	   e6rho2	   e7rho1	   e7rho2	   e8rho1	   e8rho2
   7.0000000e+01   2.0078304e-01   7.7922932e-02   0.0000000e+00   1.1193445e-01   1.9373484e-01   3.3548258e-02   9.7065098e-02   0.0000000e+00   0.0000000e+00   2.2875194e-01   0.0000000e+00   1.6727584e-01   0.0000000e+00   1.3263288e-02   1.3253636e-01   0.0000000e+00
   7.1000000e+01   2.0220384e-01   7.9619437e-02   0.0000000e+00   1.1425731e-01   1.9534349e-01   3.3980929e-02   9.8719661e-02   0.0000000e+00   0.0000000e+00   2.3071236e-01   0.0000000e+00   1.6840878e-01   0.0000000e+00   1.3599952e-02   1.3536976e-01   0.0000000e+00
   7.2000000e+01   2.0359674e-01   8.1318771e-02   0.0000000e+00   1.1658539e-01   1.9693514e-01   3.4407240e-02   1.0036378e-01   0.0000000e+00   0.0000000e+00   2.3264652e-01   0.0000000e+00   1.6952430e-01   0.0000000e+00   1.3937117e-02   1.3820896e-01   0.0000000e+00
   7.3000000e+01   2.0496221e-01   8.3020579e-02   0.0000000e+00   1.1891835e-01   1.9851014e-01   3.4827207e-02   1.0199718e-01   0.0000000e+00   0.0000000e+00   2.3455483e-01   0.0000000e+00   1.7062280e-01   0.0000000e+00   1.4274653e-02   1.4105342e-01   0.0000000e+00
   7.4000000e+01   2.0630070e-01   8.4724513e-02   0.0000000e+00   1.2125588e-01   2.0006883e-01   3.5240851e-02   1.0361962e-01   0.0000000e+00   0.0000000e+00   2.3643771e-01   0.0000000e+00   1.7170463e-01   0.0000000e+00   1.4612436e-02   1.4390266e-01   0.0000000e+00
   7.5000000e+01   2.0761268e-01   8.6430239e-02   0.0000000e+00   1.2359767e-01   2.0161153e-01   3.5648197e-02   1.0523085e-01   0.0000000e+00   0.0000000e+00   2.3829556e-01   0.0000000e+00   1.7277016e-01   0.0000000e+00   1.4950343e-02   1.4675619e-01   0.0000000e+00
   7.6000000e+01   2.0889860e-01   8.8137430e-02   0.0000000e+00   1.2594340e-01   2.0313858e-01   3.6049271e-02   1.0683065e-01   0.0000000e+00   0.0000000e+00   2.4012879e-01   0.0000000e+00   1.7381974e-01   0.0000000e+00   1.5288255e-02   1.4961352e-01   0.0000000e+00
   7.7000000e+01   2.1015889e-01   8.9845769e-02   0.0000000e+00   1.2829278e-01   2.0465026e-01   3.6444105e-02   1.0841881e-01   0.0000000e+00   0.0000000e+00   2.4193777e-01   0.0000000e+00   1.7485369e-01   0.0000000e+00   1.5626058e-02   1.5247420e-01   0.0000000e+00
   7.8000000e+01   2.1139400e-01   9.1554946e-02   0.0000000e+00   1.3064552e-01   2.0614690e-01   3.6832732e-02   1.0999512e-01   0.0000000e+00   0.0000000e+00   2.4372290e-01   0.0000000e+00   1.7587235e-01   0.0000000e+00   1.5963639e-02   1.5533776e-01   0.0000000e+00
   7.9000000e+01   2.1260435e-01   9.3264663e-02   0.0000000e+00   1.3300134e-01   2.0762876e-01   3.7215188e-02   1.1155941e-01   0.0000000e+00   0.0000000e+00   2.4548455e-01   0.0000000e+00   1.7687604e-01   0.0000000e+00   1.6300888e-02   1.5820377e-01   0.0000000e+00
